domain,cname,ip,asn,prefix,first_seen
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.146,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.152,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.155,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,103.124.139.80,AS138089,103.124.139.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.133,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.159,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.10,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.122,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.16,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.18,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.19,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.24,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.25,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.8,AS20940,23.221.50.0/24,2026-08-25 07:41:18
